year,date,event,type,control_policy
2020,"January 1, 2020, Wednesday",English New Year,Christian,NORMAL
2020,"January 2, 2020, Thursday",Guru Gobind Singh Jayanti,Hindu,NORMAL
2020,"January 6, 2020, Monday",Tailang Swami Jayanti,Hindu,NORMAL
2020,"January 12, 2020, Sunday",Swami Vivekananda Jayanti,Govt,NORMAL
2020,"January 12, 2020, Sunday",National Youth Day,Modern,NORMAL
2020,"January 14, 2020, Tuesday",Lohri,Sikh,NORMAL
2020,"January 15, 2020, Wednesday",Pongal,Hindu,NORMAL
2020,"January 15, 2020, Wednesday",Makara Sankranti,Hindu,NORMAL
2020,"January 17, 2020, Friday",Vivekananda Jayanti *Samvat,Hindu,NORMAL
2020,"January 23, 2020, Thursday",Subhas Chandra Bose Jayanti,Govt,NORMAL
2020,"January 26, 2020, Sunday",Republic Day,Govt,NORMAL
2020,"January 29, 2020, Wednesday",Vasant Panchami,Hindu,NORMAL
2020,"January 30, 2020, Thursday",Gandhi Punyatithi,Govt,NORMAL
2020,"February 4, 2020, Tuesday",World Cancer Day,Modern,NORMAL
2020,"February 9, 2020, Sunday",Guru Ravidas Jayanti,Hindu,NORMAL
2020,"February 14, 2020, Friday",Valentine's Day,Modern,NORMAL
2020,"February 18, 2020, Tuesday",Maharishi Dayanand Saraswati Jayanti,Hindu,NORMAL
2020,"February 19, 2020, Wednesday",Chhatrapati Shivaji Maharaj Jayanti,Govt,NORMAL
2020,"February 21, 2020, Friday",Maha Shivaratri,Hindu,NORMAL
2020,"February 25, 2020, Tuesday",Ramakrishna Jayanti,Hindu,NORMAL
2020,"March 8, 2020, Sunday",International Women's Day,Modern,NORMAL
2020,"March 8, 2020, Sunday",Hazarat Ali's Birthday,Islamic,NORMAL
2020,"March 9, 2020, Monday",Chhoti Holi,Hindu,NORMAL
2020,"March 9, 2020, Monday",Chaitanya Mahaprabhu Jayanti,Hindu,NORMAL
2020,"March 9, 2020, Monday",Holika Dahan,Hindu,NORMAL
2020,"March 10, 2020, Tuesday",Holi,Hindu,NORMAL
2020,"March 12, 2020, Thursday",Chhatrapati Shivaji Maharaj Jayanti,Hindu,NORMAL
2020,"March 14, 2020, Saturday",Rang Panchami,Hindu,RANG_PANCHAMI
2020,"March 20, 2020, Friday",Parsi New Year,Hindu,NORMAL
2020,"March 20, 2020, Friday",Vernal Equinox,Hindu,NORMAL
2020,"March 23, 2020, Monday",Shaheed Diwas,Govt,NORMAL
2020,"March 25, 2020, Wednesday",Jhulelal Jayanti,Hindu,NORMAL
2020,"March 25, 2020, Wednesday",Gudi Padwa,Hindu,NORMAL
2020,"March 25, 2020, Wednesday",Ugadi,Hindu,NORMAL
2020,"April 1, 2020, Wednesday",Bank's Holiday,Govt,NORMAL
2020,"April 2, 2020, Thursday",Rama Navami,Hindu,NORMAL
2020,"April 6, 2020, Monday",Mahavir Swami Jayanti,Hindu,NORMAL
2020,"April 10, 2020, Friday",Good Friday,Christian,NORMAL
2020,"April 12, 2020, Sunday",Easter,Christian,NORMAL
2020,"April 13, 2020, Monday",Solar New Year,Hindu,NORMAL
2020,"April 13, 2020, Monday",Baisakhi,Sikh,NORMAL
2020,"April 14, 2020, Tuesday",Ambedkar Jayanti,Govt,NORMAL
2020,"April 18, 2020, Saturday",Vallabhacharya Jayanti,Hindu,NORMAL
2020,"April 22, 2020, Wednesday",Earth Day,Modern,NORMAL
2020,"April 28, 2020, Tuesday",Surdas Jayanti,Hindu,NORMAL
2020,"April 28, 2020, Tuesday",Shankaracharya Jayanti,Hindu,NORMAL
2020,"May 1, 2020, Friday",International Workers' Day,Modern,NORMAL
2020,"May 3, 2020, Sunday",World Laughter Day,Modern,NORMAL
2020,"May 7, 2020, Thursday",Buddha Purnima,Hindu,NORMAL
2020,"May 7, 2020, Thursday",Rabindranath Tagore Jayanti,Govt,NORMAL
2020,"May 10, 2020, Sunday",Mother's Day,Modern,NORMAL
2020,"May 22, 2020, Friday",Jamat Ul-Vida,Islamic,NORMAL
2020,"May 24, 2020, Sunday",Eid al-Fitr,Islamic,NORMAL
2020,"May 24, 2020, Sunday",Ramadan,Islamic,NORMAL
2020,"May 25, 2020, Monday",Maharana Pratap Jayanti,Hindu,NORMAL
2020,"May 31, 2020, Sunday",World No Tobacco Day,Modern,NORMAL
2020,"June 5, 2020, Friday",Kabirdas Jayanti,Hindu,NORMAL
2020,"June 5, 2020, Friday",World Environment Day,Modern,NORMAL
2020,"June 21, 2020, Sunday",International Yoga Day,Modern,NORMAL
2020,"June 21, 2020, Sunday",Father's Day,Modern,NORMAL
2020,"June 21, 2020, Sunday",Longest Day of Year,Hindu,NORMAL
2020,"June 23, 2020, Tuesday",Jagannath Rathyatra,Hindu,NORMAL
2020,"July 5, 2020, Sunday",Guru Purnima,Hindu,NORMAL
2020,"July 27, 2020, Monday",Tulsidas Jayanti,Hindu,NORMAL
2020,"July 31, 2020, Friday",Bakrid,Islamic,NORMAL
2020,"July 31, 2020, Friday",Eid al-Adha,Islamic,NORMAL
2020,"August 2, 2020, Sunday",Friendship Day,Modern,NORMAL
2020,"August 3, 2020, Monday",Rakhi,Hindu,NORMAL
2020,"August 3, 2020, Monday",Raksha Bandhan,Hindu,NORMAL
2020,"August 11, 2020, Tuesday",Janmashtami *Smarta,Hindu,NORMAL
2020,"August 12, 2020, Wednesday",Janmashtami *ISKCON,Hindu,NORMAL
2020,"August 15, 2020, Saturday",Independence Day,Govt,NORMAL
2020,"August 20, 2020, Thursday",Islamic New Year,Islamic,NORMAL
2020,"August 20, 2020, Thursday",Al-Hijra,Islamic,NORMAL
2020,"August 22, 2020, Saturday",Ganesh Chaturthi,Hindu,NORMAL
2020,"August 29, 2020, Saturday",Day of Ashura,Islamic,NORMAL
2020,"August 29, 2020, Saturday",Muharram,Islamic,NORMAL
2020,"August 31, 2020, Monday",Onam,Hindu,NORMAL
2020,"September 5, 2020, Saturday",Teachers' Day,Modern,NORMAL
2020,"September 14, 2020, Monday",Hindi Diwas,Modern,NORMAL
2020,"September 15, 2020, Tuesday",Visvesvaraya Jayanti,Govt,NORMAL
2020,"September 15, 2020, Tuesday",Engineer's Day,Modern,NORMAL
2020,"September 22, 2020, Tuesday",Autumnal Equinox,Hindu,NORMAL
2020,"October 2, 2020, Friday",Gandhi Jayanti,Govt,NORMAL
2020,"October 17, 2020, Saturday",Maharaja Agrasen Jayanti,Hindu,NORMAL
2020,"October 24, 2020, Saturday",Durga Ashtami,Hindu,NORMAL
2020,"October 24, 2020, Saturday",Maha Navami,Hindu,NORMAL
2020,"October 25, 2020, Sunday",Dussehra,Hindu,NORMAL
2020,"October 26, 2020, Monday",Madhvacharya Jayanti,Hindu,NORMAL
2020,"October 29, 2020, Thursday",Milad un-Nabi,Islamic,NORMAL
2020,"October 29, 2020, Thursday",Eid-e-Milad,Islamic,NORMAL
2020,"October 31, 2020, Saturday",Valmiki Jayanti,Hindu,NORMAL
2020,"October 31, 2020, Saturday",Meerabai Jayanti,Hindu,NORMAL
2020,"November 4, 2020, Wednesday",Karwa Chauth,Hindu,NORMAL
2020,"November 14, 2020, Saturday",Children's Day,Modern,NORMAL
2020,"November 14, 2020, Saturday",Nehru Jayanti,Govt,NORMAL
2020,"November 14, 2020, Saturday",Diwali,Hindu,NORMAL
2020,"November 14, 2020, Saturday",Lakshmi Puja,Hindu,NORMAL
2020,"November 14, 2020, Saturday",Narak Chaturdashi,Hindu,NORMAL
2020,"November 15, 2020, Sunday",Govardhan Puja,Hindu,NORMAL
2020,"November 16, 2020, Monday",Bhaiya Dooj,Hindu,NORMAL
2020,"November 20, 2020, Friday",Chhath Puja,Hindu,NORMAL
2020,"November 30, 2020, Monday",Guru Nanak Jayanti,Hindu,NORMAL
2020,"December 1, 2020, Tuesday",World AIDS Day,Modern,NORMAL
2020,"December 21, 2020, Monday",Shortest Day of Year,Hindu,NORMAL
2020,"December 25, 2020, Friday",Merry Christmas,Christian,NORMAL
2021,"January 1, 2021, Friday",English New Year,Christian,NORMAL
2021,"January 12, 2021, Tuesday",Swami Vivekananda Jayanti,Govt,NORMAL
2021,"January 12, 2021, Tuesday",National Youth Day,Modern,NORMAL
2021,"January 13, 2021, Wednesday",Lohri,Sikh,NORMAL
