timestamp,device,sensor,status,voltage_v,pressure_kpa,pkt,rssi_dbm,snr_db,raw_payload,parse_error
2026-07-12T00:59:14,esp32,PR12P210,ok,0.682,4.54,2039,-61,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":0.682,""pressure_kpa"":4.54,""pkt"":2039}",
2026-07-12T00:59:16,esp32,PR12P210,ok,0.689,4.74,2040,-60,9.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":0.689,""pressure_kpa"":4.74,""pkt"":2040}",
2026-07-12T00:59:17,esp32,PR12P210,ok,0.684,4.59,2041,-61,9.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":0.684,""pressure_kpa"":4.59,""pkt"":2041}",
2026-07-12T00:59:18,esp32,PR12P210,ok,0.658,3.94,2042,-61,9.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":0.658,""pressure_kpa"":3.94,""pkt"":2042}",
2026-07-12T00:59:19,esp32,PR12P210,ok,0.684,4.61,2043,-60,9.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":0.684,""pressure_kpa"":4.61,""pkt"":2043}",
2026-07-12T00:59:20,esp32,PR12P210,ok,0.687,4.68,2044,-61,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":0.687,""pressure_kpa"":4.68,""pkt"":2044}",
2026-07-12T00:59:22,esp32,PR12P210,ok,0.684,4.61,2045,-61,9.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":0.684,""pressure_kpa"":4.61,""pkt"":2045}",
2026-07-12T00:59:23,esp32,PR12P210,ok,0.658,3.95,2046,-61,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":0.658,""pressure_kpa"":3.95,""pkt"":2046}",
2026-07-12T00:59:24,esp32,PR12P210,ok,0.675,4.37,2047,-60,9.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":0.675,""pressure_kpa"":4.37,""pkt"":2047}",
2026-07-12T00:59:25,esp32,PR12P210,ok,0.683,4.56,2048,-61,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":0.683,""pressure_kpa"":4.56,""pkt"":2048}",
