timestamp,upper_tank_pct,pressure_kpa,sensor_voltage,sensor_status,lora_rssi,lora_snr,pump_current_a,mains_voltage_v,pump_relay,decision_action,decision_state,decision_reason
2026-07-12T00:59:37.848863,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:38.908772,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:39.988417,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:41.050279,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:42.176301,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:43.268432,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:44.387070,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:46.190457,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:47.306123,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:48.585647,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:50.062177,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:51.231081,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:52.248777,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:53.311884,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:54.536390,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:55.645575,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:56.706294,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:57.739140,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T00:59:58.999858,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:00.248158,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:01.560935,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:02.738948,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:03.981475,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:05.251801,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:06.672955,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:07.810414,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:08.854044,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:11.890203,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:13.201014,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:14.487573,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:15.748197,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:16.959286,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:18.100521,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:19.254096,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:20.684175,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:21.936503,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:23.210144,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:24.541291,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:25.824349,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:27.051582,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:28.337465,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:29.634398,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
